plotID,avg.dxw,avg.p90,avg.d,avg.dsd,sd.dxw,sd.p90,sd.d,sd.dsd,plnt.rich,plnt.shannon,plnt.simpson,brd.rich,brd.shannon,brd.simpson,bet.rich,bet.shannon,bet.simpson,mam.rich,mam.shannon,mam.simpson
GRSM_007,NA,NA,NA,NA,NA,NA,NA,NA,55,3.851423283,0.975436098,30,3.044012925,0.939579602,NA,NA,NA,NA,NA,NA
GRSM_008,NA,NA,NA,NA,NA,NA,NA,NA,70,4.079699819,0.980566987,NA,NA,NA,6,1.473502385,0.694444444,NA,NA,NA
GRSM_009,NA,NA,NA,NA,NA,NA,NA,NA,54,3.8097984,0.974517949,NA,NA,NA,4,1.279854226,0.7,NA,NA,NA
GRSM_010,NA,NA,NA,NA,NA,NA,NA,NA,103,4.394500616,0.985272002,25,2.911113979,0.932942708,NA,NA,NA,NA,NA,NA
GRSM_011,NA,NA,NA,NA,NA,NA,NA,NA,72,4.018808183,0.978982443,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRSM_012,NA,NA,NA,NA,NA,NA,NA,NA,51,3.828604816,0.976156277,NA,NA,NA,13,2.314701184,0.873802582,NA,NA,NA
GRSM_015,NA,NA,NA,NA,NA,NA,NA,NA,97,4.406740917,0.986067222,25,2.988009236,0.940588798,NA,NA,NA,4,0.875237182,0.482698962
GRSM_017,NA,NA,NA,NA,NA,NA,NA,NA,71,4.073149316,0.980054782,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRSM_018,NA,NA,NA,NA,NA,NA,NA,NA,44,3.607435862,0.968676666,NA,NA,NA,7,1.83437197,0.82,NA,NA,NA
GRSM_019,NA,NA,NA,NA,NA,NA,NA,NA,27,3.117473676,0.949394464,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRSM_022,NA,NA,NA,NA,NA,NA,NA,NA,40,3.552021325,0.967990151,NA,NA,NA,6,1.791759469,0.833333333,NA,NA,NA
GRSM_023,NA,NA,NA,NA,NA,NA,NA,NA,48,3.703268915,0.971571181,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRSM_026,NA,NA,NA,NA,NA,NA,NA,NA,35,3.396474539,0.96201607,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRSM_028,NA,NA,NA,NA,NA,NA,NA,NA,12,2.385232964,0.899653979,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRSM_030,NA,NA,NA,NA,NA,NA,NA,NA,12,2.366431863,0.896551724,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRSM_055,NA,NA,NA,NA,NA,NA,NA,NA,76,4.073596748,0.979575649,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRSM_058,NA,NA,NA,NA,NA,NA,NA,NA,98,4.330776378,0.983769044,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRSM_059,NA,NA,NA,NA,NA,NA,NA,NA,33,3.302728265,0.957508651,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRSM_033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.897945725,0.54
GRSM_069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.562335145,0.375
